regiao,cooperativa,produtos_organicos,nome_produto,avaliacao,primavera,verao,outono,inverno
São Sebastião,Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),0,Morango,4,1,0,1,1
São Sebastião,Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),0,Abacate,3,1,0,1,0
São Sebastião,Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),0,Mandioca,3,1,1,1,1
São Sebastião,Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),0,Mamão,3,1,1,1,1
São Sebastião,Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),0,Maracujá,3,1,1,1,0
São Sebastião,Associação de Agricultores Familiares da Eco Comunidade do Assentamento 15 de Agosto (Afeca),0,Atemóia,3,1,0,1,0
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Gengibre,5,0,1,1,0
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Abacate,5,1,0,1,0
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Morango,3,1,0,1,1
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Berinjela,3,1,1,1,0
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Abóbora,4,0,1,1,1
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Batata,3,0,0,1,1
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Banana,3,1,1,1,1
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Cenoura,4,1,1,1,1
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Beterraba,3,1,1,1,1
Taguatinga / Gama / Santa Maria,Associação Agrícola do Distrito Federal e Ride (Agrifam),0,Agrião,3,1,1,1,1
Santa Maria,Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista),1,Mandioca,3,1,1,1,1
Santa Maria,Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista),1,Pepino,4,1,1,1,0
Santa Maria,Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista),1,Morango,4,1,0,1,1
Santa Maria,Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista),1,Manga,3,0,1,0,0
Santa Maria,Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista),1,Coco,4,1,1,1,1
Santa Maria,Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista),1,Cebola,4,0,0,1,1
Santa Maria,Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista),1,Graviola,4,1,1,1,0
Santa Maria,Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista),1,Tomate,4,1,1,1,0
Santa Maria,Associação Mista dos Agricultores Familiares, Orgânicos e Produtores Rurais do DF e Entorno (Amista),1,Chuchu,5,1,1,1,1
Guará / Núcleo Bandeirante / Plano Piloto,Associação dos Produtores da Agricultura Familiar (Aspaf),0,Repolho,4,1,0,1,1
Guará / Núcleo Bandeirante / Plano Piloto,Associação dos Produtores da Agricultura Familiar (Aspaf),0,Jiló,3,1,1,1,0
Guará / Núcleo Bandeirante / Plano Piloto,Associação dos Produtores da Agricultura Familiar (Aspaf),0,Quiabo,5,1,1,1,0
Guará / Núcleo Bandeirante / Plano Piloto,Associação dos Produtores da Agricultura Familiar (Aspaf),0,Uva,5,0,1,0,0
Guará / Núcleo Bandeirante / Plano Piloto,Associação dos Produtores da Agricultura Familiar (Aspaf),0,Gengibre,4,0,1,1,0
Guará / Núcleo Bandeirante / Plano Piloto,Associação dos Produtores da Agricultura Familiar (Aspaf),0,Pimentão,3,1,1,1,0
Guará / Núcleo Bandeirante / Plano Piloto,Associação dos Produtores da Agricultura Familiar (Aspaf),0,Atemóia,3,1,0,1,0
Guará / Núcleo Bandeirante / Plano Piloto,Associação dos Produtores da Agricultura Familiar (Aspaf),0,Banana,4,1,1,1,1
Guará / Núcleo Bandeirante / Plano Piloto,Associação dos Produtores da Agricultura Familiar (Aspaf),0,Alface,5,1,1,1,1
Guará / Núcleo Bandeirante / Plano Piloto,Associação dos Produtores da Agricultura Familiar (Aspaf),0,Mamão,3,1,1,1,1
Brazlândia,Associação dos Produtores Rurais de Alexandre Gusmão (Asspag),0,Abacate,3,1,0,1,0
Brazlândia,Associação dos Produtores Rurais de Alexandre Gusmão (Asspag),0,Limão,4,1,1,1,1
Brazlândia,Associação dos Produtores Rurais de Alexandre Gusmão (Asspag),0,Gengibre,5,0,1,1,0
Brazlândia,Associação dos Produtores Rurais de Alexandre Gusmão (Asspag),0,Morango,4,1,0,1,1
Brazlândia,Associação dos Produtores Rurais de Alexandre Gusmão (Asspag),0,Graviola,5,1,1,1,0
Brazlândia,Associação dos Produtores Rurais de Alexandre Gusmão (Asspag),0,Alface,4,1,1,1,1
Brazlândia,Associação dos Produtores Rurais de Alexandre Gusmão (Asspag),0,Agrião,3,1,1,1,1
Gama / Santa Maria / Plano Piloto,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),0,Agrião,4,1,1,1,1
Gama / Santa Maria / Plano Piloto,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),0,Atemóia,5,1,0,1,0
Gama / Santa Maria / Plano Piloto,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),0,Brócolis,4,1,0,1,1
Gama / Santa Maria / Plano Piloto,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),0,Mamão,3,1,1,1,1
Gama / Santa Maria / Plano Piloto,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),0,Alface,5,1,1,1,1
Gama / Santa Maria / Plano Piloto,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),0,Morango,3,1,0,1,1
Gama / Santa Maria / Plano Piloto,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),0,Berinjela,5,1,1,1,0
Gama / Santa Maria / Plano Piloto,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),0,Tomate,3,1,1,1,0
Gama / Santa Maria / Plano Piloto,Associação dos Produtores de Hortigranjeiros do Distrito Federal (Asphor),0,Pepino,4,1,1,1,0
Ceilândia / Recanto das Emas / Samambaia / Paranoá / Planaltina,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),1,Mamão,5,1,1,1,1
Ceilândia / Recanto das Emas / Samambaia / Paranoá / Planaltina,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),1,Banana,4,1,1,1,1
Ceilândia / Recanto das Emas / Samambaia / Paranoá / Planaltina,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),1,Morango,3,1,0,1,1
Ceilândia / Recanto das Emas / Samambaia / Paranoá / Planaltina,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),1,Limão,5,1,1,1,1
Ceilândia / Recanto das Emas / Samambaia / Paranoá / Planaltina,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),1,Manga,3,0,1,0,0
Ceilândia / Recanto das Emas / Samambaia / Paranoá / Planaltina,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),1,Abacate,3,1,0,1,0
Ceilândia / Recanto das Emas / Samambaia / Paranoá / Planaltina,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),1,Pimentão,3,1,1,1,0
Ceilândia / Recanto das Emas / Samambaia / Paranoá / Planaltina,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),1,Tangerina,3,0,0,1,1
Ceilândia / Recanto das Emas / Samambaia / Paranoá / Planaltina,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),1,Cebola,4,0,0,1,1
Ceilândia / Recanto das Emas / Samambaia / Paranoá / Planaltina,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),1,Maracujá,4,1,1,1,0
Ceilândia / Recanto das Emas / Samambaia / Paranoá / Planaltina,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),1,Agrião,4,1,1,1,1
Ceilândia / Recanto das Emas / Samambaia / Paranoá / Planaltina,Associação dos Produtores Rurais Orgânicos e Convencionais do Distrito Federal e Entorno (Asproc),1,Uva,3,0,1,0,0
Ceilândia / Recanto Das Emas,Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),0,Tangerina,3,0,0,1,1
Ceilândia / Recanto Das Emas,Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),0,Graviola,5,1,1,1,0
Ceilândia / Recanto Das Emas,Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),0,Manga,5,0,1,0,0
Ceilândia / Recanto Das Emas,Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),0,Morango,3,1,0,1,1
Ceilândia / Recanto Das Emas,Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),0,Gengibre,3,0,1,1,0
Ceilândia / Recanto Das Emas,Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),0,Abacate,3,1,0,1,0
Ceilândia / Recanto Das Emas,Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),0,Cenoura,5,1,1,1,1
Ceilândia / Recanto Das Emas,Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),0,Maracujá,3,1,1,1,0
Ceilândia / Recanto Das Emas,Associação dos Produtores Rurais Novo Horizonte Betinho (Aspronte),0,Cajamanga,3,1,1,0,0
Guará,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),0,Manga,5,0,1,0,0
Guará,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),0,Repolho,4,1,0,1,1
Guará,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),0,Pepino,4,1,1,1,0
Guará,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),0,Agrião,5,1,1,1,1
Guará,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),0,Tangerina,4,0,0,1,1
Guará,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),0,Tomate,4,1,1,1,0
Guará,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),0,Coco,5,1,1,1,1
Guará,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),0,Mandioca,4,1,1,1,1
Guará,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),0,Lichia,4,0,1,0,0
Guará,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),0,Cebola,4,0,0,1,1
Guará,Associação dos Trabalhadores Rurais da Agricultura Familiar do Assentamento Chapadinha (Astraf),0,Gengibre,3,0,1,1,0
Gama / Recanto das Emas / Samambaia / Núcleo Bandeirante / Planaltina / Brazlândia / Ceilândia,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),0,Maracujá,5,1,1,1,0
Gama / Recanto das Emas / Samambaia / Núcleo Bandeirante / Planaltina / Brazlândia / Ceilândia,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),0,Goiaba,4,0,1,1,0
Gama / Recanto das Emas / Samambaia / Núcleo Bandeirante / Planaltina / Brazlândia / Ceilândia,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),0,Atemóia,5,1,0,1,0
Gama / Recanto das Emas / Samambaia / Núcleo Bandeirante / Planaltina / Brazlândia / Ceilândia,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),0,Tomate,5,1,1,1,0
Gama / Recanto das Emas / Samambaia / Núcleo Bandeirante / Planaltina / Brazlândia / Ceilândia,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),0,Coco,3,1,1,1,1
Gama / Recanto das Emas / Samambaia / Núcleo Bandeirante / Planaltina / Brazlândia / Ceilândia,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),0,Lichia,4,0,1,0,0
Gama / Recanto das Emas / Samambaia / Núcleo Bandeirante / Planaltina / Brazlândia / Ceilândia,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),0,Berinjela,3,1,1,1,0
Gama / Recanto das Emas / Samambaia / Núcleo Bandeirante / Planaltina / Brazlândia / Ceilândia,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),0,Quiabo,3,1,1,1,0
Gama / Recanto das Emas / Samambaia / Núcleo Bandeirante / Planaltina / Brazlândia / Ceilândia,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),0,Brócolis,5,1,0,1,1
Gama / Recanto das Emas / Samambaia / Núcleo Bandeirante / Planaltina / Brazlândia / Ceilândia,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),0,Mandioca,3,1,1,1,1
Gama / Recanto das Emas / Samambaia / Núcleo Bandeirante / Planaltina / Brazlândia / Ceilândia,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),0,Cebola,5,0,0,1,1
Gama / Recanto das Emas / Samambaia / Núcleo Bandeirante / Planaltina / Brazlândia / Ceilândia,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),0,Repolho,5,1,0,1,1
Gama / Recanto das Emas / Samambaia / Núcleo Bandeirante / Planaltina / Brazlândia / Ceilândia,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),0,Chuchu,3,1,1,1,1
Gama / Recanto das Emas / Samambaia / Núcleo Bandeirante / Planaltina / Brazlândia / Ceilândia,Cooperativa Mista da Agricultura Familiar do Meio Ambiente e da Cultura do Brasil (Coopbrasil),0,Couve,3,1,1,1,1
Paranoá,Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),0,Brócolis,3,1,0,1,1
Paranoá,Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),0,Mandioca,3,1,1,1,1
Paranoá,Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),0,Gengibre,5,0,1,1,0
Paranoá,Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),0,Atemóia,5,1,0,1,0
Paranoá,Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),0,Repolho,4,1,0,1,1
Paranoá,Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),0,Limão,3,1,1,1,1
Paranoá,Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),0,Jiló,5,1,1,1,0
Paranoá,Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),0,Beterraba,4,1,1,1,1
Paranoá,Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),0,Alface,4,1,1,1,1
Paranoá,Cooperativa Agrícola Buriti Vermelho (Cooper-Horti),0,Tangerina,5,0,0,1,1
Plano Piloto / Paranoá,Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),0,Mamão,3,1,1,1,1
Plano Piloto / Paranoá,Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),0,Couve,4,1,1,1,1
Plano Piloto / Paranoá,Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),0,Pimentão,5,1,1,1,0
Plano Piloto / Paranoá,Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),0,Manga,3,0,1,0,0
Plano Piloto / Paranoá,Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),0,Tomate,4,1,1,1,0
Plano Piloto / Paranoá,Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),0,Abacate,5,1,0,1,0
Plano Piloto / Paranoá,Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),0,Goiaba,4,0,1,1,0
Plano Piloto / Paranoá,Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),0,Lichia,4,0,1,0,0
Plano Piloto / Paranoá,Cooperativa dos Produtores Rurais de Planaltina de Goiás e Região (Prorural),0,Morango,4,1,0,1,1
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Cebola,4,0,0,1,1
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Limão,3,1,1,1,1
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Batata,5,0,0,1,1
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Lichia,5,0,1,0,0
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Pimentão,3,1,1,1,0
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Agrião,3,1,1,1,1
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Atemóia,3,1,0,1,0
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Uva,5,0,1,0,0
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Quiabo,3,1,1,1,0
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Couve,3,1,1,1,1
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Chuchu,4,1,1,1,1
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Manga,4,0,1,0,0
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Tomate,3,1,1,1,0
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Coco,3,1,1,1,1
Brazlândia / Taguatinga / Samambaia / Recanto das Emas,Cooperativa Agropecuária da Região de Brazlândia (Coopebraz),0,Graviola,3,1,1,1,0
Planaltina,Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),0,Mandioca,5,1,1,1,1
Planaltina,Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),0,Uva,4,0,1,0,0
Planaltina,Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),0,Mamão,4,1,1,1,1
Planaltina,Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),0,Maracujá,4,1,1,1,0
Planaltina,Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),0,Abacate,5,1,0,1,0
Planaltina,Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),0,Atemóia,4,1,0,1,0
Planaltina,Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),0,Quiabo,3,1,1,1,0
Planaltina,Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),0,Goiaba,4,0,1,1,0
Planaltina,Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),0,Lichia,3,0,1,0,0
Planaltina,Cooperativa de Agricultura Familiar Mista do Distrito Federal (Coopermista),0,Limão,5,1,1,1,1
Santa Maria,Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),1,Goiaba,5,0,1,1,0
Santa Maria,Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),1,Couve,3,1,1,1,1
Santa Maria,Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),1,Mamão,5,1,1,1,1
Santa Maria,Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),1,Lichia,4,0,1,0,0
Santa Maria,Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),1,Manga,3,0,1,0,0
Santa Maria,Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),1,Repolho,3,1,0,1,1
Santa Maria,Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),1,Pepino,5,1,1,1,0
Santa Maria,Cooperativa dos Agricultores Familiares Ecológicos do Cerrado (Rede Terra),1,Alface,3,1,1,1,1
Ceilândia,Cooperativa Agrícola da Região de Planaltina (Cootaquara),0,Pitaia,5,0,1,1,0
Ceilândia,Cooperativa Agrícola da Região de Planaltina (Cootaquara),0,Gengibre,4,0,1,1,0
Ceilândia,Cooperativa Agrícola da Região de Planaltina (Cootaquara),0,Alface,4,1,1,1,1
Ceilândia,Cooperativa Agrícola da Região de Planaltina (Cootaquara),0,Cebola,5,0,0,1,1
Ceilândia,Cooperativa Agrícola da Região de Planaltina (Cootaquara),0,Repolho,3,1,0,1,1
Ceilândia,Cooperativa Agrícola da Região de Planaltina (Cootaquara),0,Tomate,3,1,1,1,0
Ceilândia,Cooperativa Agrícola da Região de Planaltina (Cootaquara),0,Beterraba,3,1,1,1,1
Ceilândia,Cooperativa Agrícola da Região de Planaltina (Cootaquara),0,Berinjela,3,1,1,1,0
Ceilândia,Cooperativa Agrícola da Região de Planaltina (Cootaquara),0,Limão,3,1,1,1,1
Ceilândia,Cooperativa Agrícola da Região de Planaltina (Cootaquara),0,Uva,4,0,1,0,0
Sobradinho / São Sebastião,Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília),0,Goiaba,4,0,1,1,0
Sobradinho / São Sebastião,Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília),0,Graviola,3,1,1,1,0
Sobradinho / São Sebastião,Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília),0,Coco,5,1,1,1,1
Sobradinho / São Sebastião,Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília),0,Maracujá,3,1,1,1,0
Sobradinho / São Sebastião,Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília),0,Cenoura,4,1,1,1,1
Sobradinho / São Sebastião,Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília),0,Berinjela,3,1,1,1,0
Sobradinho / São Sebastião,Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília),0,Manga,5,0,1,0,0
Sobradinho / São Sebastião,Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília),0,Pitaia,3,0,1,1,0
Sobradinho / São Sebastião,Cooperativa de Serviços Ambientais, Agricultura Familiar, Sociedade, Cultura e Saúde (Cooperbrasília),0,Tangerina,4,0,0,1,1